id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight
530,167285,Alireza Haghighi,191589,1988-05-02 00:00:00,193.04,176
8608,184536,Philippe Coutinho,189242,1992-06-12 00:00:00,170.18,150
7752,38947,Mustapha Jarju Alasan,178374,1986-07-18 00:00:00,182.88,179
11073,36491,Zsolt Low,111191,1979-04-29 00:00:00,180.34,154
8427,27613,Paulinho,164256,1986-01-10 00:00:00,175.26,159
6259,67360,Luca Radice,221640,1987-04-09 00:00:00,180.34,154
3485,37753,Francis Dickoh,130933,1982-12-13 00:00:00,187.96,187
87,495841,Adalberto Penaranda,231638,1997-05-31 00:00:00,182.88,172
10862,67941,Xavier Chen,158260,1983-10-05 00:00:00,175.26,152
3142,199916,Ezequiel Adrian Cirigliano,199666,1992-01-24 00:00:00,172.72,157
7123,429986,Matias Malvino,229482,1992-01-20 00:00:00,187.96,174
5505,364290,Julian Michel,212169,1992-02-19 00:00:00,180.34,150
10496,465728,Tuur Dierckx,216295,1995-05-09 00:00:00,170.18,150
1834,31244,Cicero,156914,1984-08-26 00:00:00,182.88,159
2606,5710,Diederik Boer,9833,1980-09-24 00:00:00,193.04,198
6897,96619,Markel Susaeta,189354,1987-12-14 00:00:00,177.8,150
4816,214570,Jeffrey Schlupp,200759,1992-12-23 00:00:00,177.8,159
10865,149140,Xavier Luissint,188954,1984-01-13 00:00:00,177.8,176
4873,30818,Jermaine Jenas,49076,1983-02-18 00:00:00,177.8,168
6633,96532,Marcello Gazzola,183188,1985-04-03 00:00:00,182.88,172
9177,33344,Romain Poyet,100964,1980-11-25 00:00:00,182.88,176
7815,209387,Nayib Lagouireh,184239,1991-06-06 00:00:00,170.18,146
9325,24903,Russell Martin,162886,1986-01-04 00:00:00,182.88,161
4206,94010,Henri Saivet,183256,1990-10-26 00:00:00,175.26,161
8127,277705,Oliver,205323,1992-08-29 00:00:00,177.8,163
6229,196865,Louis Moult,194925,1992-05-14 00:00:00,182.88,187
10120,41191,Sylvain Marveaux,157310,1986-04-15 00:00:00,172.72,146
5666,37770,Kasper Schmeichel,163587,1986-11-05 00:00:00,185.42,168
10899,354467,Yannick Ferreira-Carrasco,208418,1993-09-04 00:00:00,180.34,146
8557,39977,Peter Franquart,163480,1985-01-04 00:00:00,182.88,181
5154,557342,Jonas Omlin,223550,1994-01-10 00:00:00,187.96,176
3013,161420,Emmanuel Riviere,188289,1990-03-03 00:00:00,182.88,168
9958,306990,Stephane Badji,208015,1990-05-29 00:00:00,180.34,165
3889,41376,Giuseppe De Feudis,157791,1983-07-10 00:00:00,170.18,152
9426,187344,Samir Fazli,193880,1991-04-22 00:00:00,185.42,165
1970,114339,Cristian Maidana,187644,1987-01-24 00:00:00,180.34,163
5331,207511,Jose Izquierdo,219411,1992-07-07 00:00:00,170.18,161
11004,25199,Yves Makaba-Makalamby,152552,1986-01-31 00:00:00,198.12,212
2142,26257,Daniel Jensen,146769,1979-06-25 00:00:00,177.8,161
6106,109638,Leroy Fer,186351,1990-01-05 00:00:00,187.96,174
9070,212770,Roberto Inglese,199559,1991-11-12 00:00:00,185.42,187
2068,25770,Damir Dzombic,161922,1985-01-03 00:00:00,187.96,170
7945,164031,Nicolas Gaitan,184144,1988-02-23 00:00:00,172.72,150
1537,38887,Carlos Acuna,165031,1988-06-23 00:00:00,177.8,157
1966,500791,Cristian Herrera,204280,1991-03-01 00:00:00,187.96,187
7467,120082,Mickael Facchinetti,189115,1991-02-15 00:00:00,182.88,163
4330,40962,Ibson,152828,1983-11-07 00:00:00,177.8,163
4700,37976,Jason Vandelannoite,169170,1986-11-06 00:00:00,177.8,176
1322,410424,Borja Lopez,212129,1994-02-02 00:00:00,193.04,185
4918,174030,Jesus Fernandez,192457,1988-06-11 00:00:00,190.5,183
4542,289159,Jak Alnwick,204354,1993-06-17 00:00:00,187.96,181
8363,322354,Patrick,208114,1991-01-22 00:00:00,177.8,168
5021,319631,Joaquin Correa,215330,1994-08-13 00:00:00,187.96,170
4863,26235,Jeremy Sapina,168294,1985-02-01 00:00:00,187.96,187
5606,150670,Kamil Glik,190547,1988-02-03 00:00:00,190.5,176
3170,41666,Fabiano Santacroce,182177,1986-08-24 00:00:00,180.34,159
848,40659,Anthony Mounier,183870,1987-09-27 00:00:00,175.26,152
3056,23781,Eric Djemba-Djemba,49483,1981-05-04 00:00:00,175.26,179
2669,261609,Dimitri Foulquier,203177,1993-03-23 00:00:00,182.88,172
9027,23979,Robert Elliot,167931,1986-04-30 00:00:00,187.96,205
7638,25849,Mobulu M'Futi,34663,1981-08-28 00:00:00,175.26,165
3158,310355,Fabian Holland,208470,1990-07-11 00:00:00,172.72,163
6638,68436,Marcelo Estigarribia,188992,1987-09-21 00:00:00,180.34,154
6789,148483,Marian Kello,189902,1982-09-05 00:00:00,187.96,192
10079,182637,Stojan Vranjes,222102,1986-10-11 00:00:00,182.88,165
